Country, Product , Units Sold , Revenue per cookie , Cost per cookie , Revenue , Cost , Profit ,Date,Month Number, Month Name ,Year
Canada, Chocolate Chip ," $2,470.00 ", $5.00 , $2.00 ," $12,350.00 "," $4,940.00 "," $7,410.00 ",01/09/2018,9, September ,2018
Canada, Chocolate Chip ," $1,743.00 ", $5.00 , $2.00 ," $8,715.00 "," $3,486.00 "," $5,229.00 ",01/10/2018,10, October ,2018
United States, Chocolate Chip ," $2,914.00 ", $5.00 , $2.00 ," $14,570.00 "," $5,828.00 "," $8,742.00 ",01/10/2019,10, October ,2019
France, Chocolate Chip ," $1,731.00 ", $5.00 , $2.00 ," $8,655.00 "," $3,462.00 "," $5,193.00 ",01/10/2019,10, October ,2019
Canada, Chocolate Chip , $700.00 , $5.00 , $2.00 ," $3,500.00 "," $1,400.00 "," $2,100.00 ",01/11/2019,11, November ,2019
Canada, Chocolate Chip ," $2,222.00 ", $5.00 , $2.00 ," $11,110.00 "," $4,444.00 "," $6,666.00 ",01/11/2018,11, November ,2018
United States, Chocolate Chip ," $1,177.00 ", $5.00 , $2.00 ," $5,885.00 "," $2,354.00 "," $3,531.00 ",01/11/2019,11, November ,2019
France, Chocolate Chip ," $1,922.00 ", $5.00 , $2.00 ," $9,610.00 "," $3,844.00 "," $5,766.00 ",01/11/2018,11, November ,2018
Germany, Chocolate Chip ," $1,158.00 ", $5.00 , $2.00 ," $5,790.00 "," $2,316.00 "," $3,474.00 ",01/03/2019,3, March ,2019
Canada, Chocolate Chip ," $1,614.00 ", $5.00 , $2.00 ," $8,070.00 "," $3,228.00 "," $4,842.00 ",01/04/2019,4, April ,2019
Mexico, Chocolate Chip ," $2,535.00 ", $5.00 , $2.00 ," $12,675.00 "," $5,070.00 "," $7,605.00 ",01/04/2019,4, April ,2019
Mexico, Chocolate Chip ," $2,851.00 ", $5.00 , $2.00 ," $14,255.00 "," $5,702.00 "," $8,553.00 ",01/05/2019,5, May ,2019
Canada, Chocolate Chip ," $2,559.00 ", $5.00 , $2.00 ," $12,795.00 "," $5,118.00 "," $7,677.00 ",01/08/2019,8, August ,2019
United States, Chocolate Chip , $267.00 , $5.00 , $2.00 ," $1,335.00 ", $534.00 , $801.00 ,01/10/2018,10, October ,2018
Germany, Chocolate Chip ," $1,085.00 ", $5.00 , $2.00 ," $5,425.00 "," $2,170.00 "," $3,255.00 ",01/10/2019,10, October ,2019
Germany, Chocolate Chip ," $1,175.00 ", $5.00 , $2.00 ," $5,875.00 "," $2,350.00 "," $3,525.00 ",01/10/2019,10, October ,2019
United States, Chocolate Chip ," $2,007.00 ", $5.00 , $2.00 ," $10,035.00 "," $4,014.00 "," $6,021.00 ",01/11/2018,11, November ,2018
Mexico, Chocolate Chip ," $2,151.00 ", $5.00 , $2.00 ," $10,755.00 "," $4,302.00 "," $6,453.00 ",01/11/2018,11, November ,2018
United States, Chocolate Chip , $914.00 , $5.00 , $2.00 ," $4,570.00 "," $1,828.00 "," $2,742.00 ",01/12/2019,12, December ,2019
France, Chocolate Chip , $293.00 , $5.00 , $2.00 ," $1,465.00 ", $586.00 , $879.00 ,01/12/2019,12, December ,2019
Canada, Chocolate Chip , $723.00 , $5.00 , $2.00 ," $3,615.00 "," $1,446.00 "," $2,169.00 ",01/04/2019,4, April ,2019
Germany, Fortune Cookie , $921.00 , $1.00 , $0.20 , $921.00 , $184.20 , $736.80 ,01/03/2019,3, March ,2019
Canada, Fortune Cookie ," $2,518.00 ", $1.00 , $0.20 ," $2,518.00 ", $503.60 ," $2,014.40 ",01/06/2019,6, June ,2019
France, Fortune Cookie ," $1,899.00 ", $1.00 , $0.20 ," $1,899.00 ", $379.80 ," $1,519.20 ",01/06/2019,6, June ,2019
Germany, Fortune Cookie ," $1,545.00 ", $1.00 , $0.20 ," $1,545.00 ", $309.00 ," $1,236.00 ",01/06/2019,6, June ,2019
Mexico, Fortune Cookie ," $2,470.00 ", $1.00 , $0.20 ," $2,470.00 ", $494.00 ," $1,976.00 ",01/06/2019,6, June ,2019
Canada, Fortune Cookie ," $2,665.50 ", $1.00 , $0.20 ," $2,665.50 ", $533.10 ," $2,132.40 ",01/07/2019,7, July ,2019
Mexico, Fortune Cookie , $958.00 , $1.00 , $0.20 , $958.00 , $191.60 , $766.40 ,01/08/2019,8, August ,2019
Germany, Fortune Cookie ," $2,146.00 ", $1.00 , $0.20 ," $2,146.00 ", $429.20 ," $1,716.80 ",01/09/2019,9, September ,2019
Canada, Fortune Cookie , $345.00 , $1.00 , $0.20 , $345.00 , $69.00 , $276.00 ,01/10/2018,10, October ,2018
United States, Fortune Cookie , $615.00 , $1.00 , $0.20 , $615.00 , $123.00 , $492.00 ,01/12/2019,12, December ,2019
Mexico, Fortune Cookie ," $2,214.00 ", $1.00 , $0.20 ," $2,214.00 ", $442.80 ," $1,771.20 ",01/03/2019,3, March ,2019
United States, Fortune Cookie ," $2,301.00 ", $1.00 , $0.20 ," $2,301.00 ", $460.20 ," $1,840.80 ",01/04/2019,4, April ,2019
France, Fortune Cookie ," $1,375.50 ", $1.00 , $0.20 ," $1,375.50 ", $275.10 ," $1,100.40 ",01/07/2019,7, July ,2019
Canada, Fortune Cookie ," $1,830.00 ", $1.00 , $0.20 ," $1,830.00 ", $366.00 ," $1,464.00 ",01/08/2019,8, August ,2019
United States, Fortune Cookie ," $2,498.00 ", $1.00 , $0.20 ," $2,498.00 ", $499.60 ," $1,998.40 ",01/09/2018,9, September ,2018
United States, Fortune Cookie , $663.00 , $1.00 , $0.20 , $663.00 , $132.60 , $530.40 ,01/10/2018,10, October ,2018
United States, Fortune Cookie ," $1,142.00 ", $1.00 , $0.20 ," $1,142.00 ", $228.40 , $913.60 ,01/06/2019,6, June ,2019
United States, Fortune Cookie ," $1,566.00 ", $1.00 , $0.20 ," $1,566.00 ", $313.20 ," $1,252.80 ",01/10/2019,10, October ,2019
Mexico, Fortune Cookie , $690.00 , $1.00 , $0.20 , $690.00 , $138.00 , $552.00 ,01/11/2019,11, November ,2019
Mexico, Fortune Cookie ," $1,660.00 ", $1.00 , $0.20 ," $1,660.00 ", $332.00 ," $1,328.00 ",01/11/2018,11, November ,2018
Germany, Fortune Cookie ," $1,958.00 ", $1.00 , $0.20 ," $1,958.00 ", $391.60 ," $1,566.40 ",01/02/2019,2, February ,2019
France, Fortune Cookie ," $1,901.00 ", $1.00 , $0.20 ," $1,901.00 ", $380.20 ," $1,520.80 ",01/06/2019,6, June ,2019
France, Fortune Cookie , $544.00 , $1.00 , $0.20 , $544.00 , $108.80 , $435.20 ,01/09/2019,9, September ,2019
Germany, Fortune Cookie ," $1,797.00 ", $1.00 , $0.20 ," $1,797.00 ", $359.40 ," $1,437.60 ",01/09/2018,9, September ,2018
France, Fortune Cookie ," $1,287.00 ", $1.00 , $0.20 ," $1,287.00 ", $257.40 ," $1,029.60 ",01/12/2019,12, December ,2019
Germany, Fortune Cookie ," $1,706.00 ", $1.00 , $0.20 ," $1,706.00 ", $341.20 ," $1,364.80 ",01/12/2019,12, December ,2019
Mexico, Fortune Cookie ," $2,031.00 ", $1.00 , $0.20 ," $2,031.00 ", $406.20 ," $1,624.80 ",01/10/2019,10, October ,2019
Canada, Fortune Cookie ," $1,967.00 ", $1.00 , $0.20 ," $1,967.00 ", $393.40 ," $1,573.60 ",01/03/2019,3, March ,2019
Germany, Fortune Cookie ," $1,859.00 ", $1.00 , $0.20 ," $1,859.00 ", $371.80 ," $1,487.20 ",01/08/2019,8, August ,2019
Canada, Fortune Cookie ," $2,851.00 ", $1.00 , $0.20 ," $2,851.00 ", $570.20 ," $2,280.80 ",01/10/2018,10, October ,2018
Germany, Fortune Cookie ," $2,021.00 ", $1.00 , $0.20 ," $2,021.00 ", $404.20 ," $1,616.80 ",01/10/2019,10, October ,2019
Mexico, Fortune Cookie ," $1,138.00 ", $1.00 , $0.20 ," $1,138.00 ", $227.60 , $910.40 ,01/12/2019,12, December ,2019
Germany, Fortune Cookie ," $1,159.00 ", $1.00 , $0.20 ," $1,159.00 ", $231.80 , $927.20 ,01/10/2018,10, October ,2018
France, Fortune Cookie ," $1,384.50 ", $1.00 , $0.20 ," $1,384.50 ", $276.90 ," $1,107.60 ",01/01/2019,1, January ,2019
United States, Fortune Cookie ," $3,627.00 ", $1.00 , $0.20 ," $3,627.00 ", $725.40 ," $2,901.60 ",01/07/2019,7, July ,2019
Mexico, Fortune Cookie , $720.00 , $1.00 , $0.20 , $720.00 , $144.00 , $576.00 ,01/09/2018,9, September ,2018
Germany, Fortune Cookie ," $2,342.00 ", $1.00 , $0.20 ," $2,342.00 ", $468.40 ," $1,873.60 ",01/11/2019,11, November ,2019
Mexico, Fortune Cookie ," $1,100.00 ", $1.00 , $0.20 ," $1,100.00 ", $220.00 , $880.00 ,01/12/2018,12, December ,2018
Mexico, Fortune Cookie , $980.00 , $1.00 , $0.20 , $980.00 , $196.00 , $784.00 ,01/04/2019,4, April ,2019
Germany, Fortune Cookie ," $1,460.00 ", $1.00 , $0.20 ," $1,460.00 ", $292.00 ," $1,168.00 ",01/05/2019,5, May ,2019
France, Fortune Cookie ," $1,403.00 ", $1.00 , $0.20 ," $1,403.00 ", $280.60 ," $1,122.40 ",01/10/2018,10, October ,2018
United States, Fortune Cookie ," $2,723.00 ", $1.00 , $0.20 ," $2,723.00 ", $544.60 ," $2,178.40 ",01/11/2019,11, November ,2019
France, Fortune Cookie ," $1,757.00 ", $1.00 , $0.20 ," $1,757.00 ", $351.40 ," $1,405.60 ",01/10/2018,10, October ,2018
Mexico, Fortune Cookie ," $2,340.00 ", $1.00 , $0.20 ," $2,340.00 ", $468.00 ," $1,872.00 ",01/01/2019,1, January ,2019
France, Fortune Cookie ," $2,342.00 ", $1.00 , $0.20 ," $2,342.00 ", $468.40 ," $1,873.60 ",01/11/2019,11, November ,2019
France, Fortune Cookie ," $1,976.00 ", $1.00 , $0.20 ," $1,976.00 ", $395.20 ," $1,580.80 ",01/10/2019,10, October ,2019
France, Fortune Cookie ," $2,181.00 ", $1.00 , $0.20 ," $2,181.00 ", $436.20 ," $1,744.80 ",01/10/2019,10, October ,2019
Germany, Fortune Cookie ," $2,500.00 ", $1.00 , $0.20 ," $2,500.00 ", $500.00 ," $2,000.00 ",01/11/2018,11, November ,2018
Canada, Fortune Cookie , $488.00 , $1.00 , $0.20 , $488.00 , $97.60 , $390.40 ,01/02/2019,2, February ,2019
United States, Fortune Cookie ," $1,282.00 ", $1.00 , $0.20 ," $1,282.00 ", $256.40 ," $1,025.60 ",01/06/2019,6, June ,2019
France, Fortune Cookie ," $2,501.00 ", $1.00 , $0.20 ," $2,501.00 ", $500.20 ," $2,000.80 ",01/03/2019,3, March ,2019
Canada, Fortune Cookie , $708.00 , $1.00 , $0.20 , $708.00 , $141.60 , $566.40 ,01/06/2019,6, June ,2019
Germany, Fortune Cookie , $645.00 , $1.00 , $0.20 , $645.00 , $129.00 , $516.00 ,01/07/2019,7, July ,2019
France, Fortune Cookie ," $1,562.00 ", $1.00 , $0.20 ," $1,562.00 ", $312.40 ," $1,249.60 ",01/08/2019,8, August ,2019
Canada, Fortune Cookie ," $1,283.00 ", $1.00 , $0.20 ," $1,283.00 ", $256.60 ," $1,026.40 ",01/09/2018,9, September ,2018
Germany, Fortune Cookie , $711.00 , $1.00 , $0.20 , $711.00 , $142.20 , $568.80 ,01/12/2019,12, December ,2019
Canada, Fortune Cookie ," $3,802.50 ", $1.00 , $0.20 ," $3,802.50 ", $760.50 ," $3,042.00 ",01/04/2019,4, April ,2019
France, Fortune Cookie ," $1,666.00 ", $1.00 , $0.20 ," $1,666.00 ", $333.20 ," $1,332.80 ",01/05/2019,5, May ,2019
France, Fortune Cookie , $322.00 , $1.00 , $0.20 , $322.00 , $64.40 , $257.60 ,01/09/2018,9, September ,2018
Canada, Fortune Cookie ," $2,321.00 ", $1.00 , $0.20 ," $2,321.00 ", $464.20 ," $1,856.80 ",01/11/2019,11, November ,2019
France, Fortune Cookie ," $1,857.00 ", $1.00 , $0.20 ," $1,857.00 ", $371.40 ," $1,485.60 ",01/11/2018,11, November ,2018
Canada, Fortune Cookie ," $1,611.00 ", $1.00 , $0.20 ," $1,611.00 ", $322.20 ," $1,288.80 ",01/12/2018,12, December ,2018
United States, Fortune Cookie ," $2,797.00 ", $1.00 , $0.20 ," $2,797.00 ", $559.40 ," $2,237.60 ",01/12/2019,12, December ,2019
Germany, Fortune Cookie , $334.00 , $1.00 , $0.20 , $334.00 , $66.80 , $267.20 ,01/12/2018,12, December ,2018
United States, Fortune Cookie ," $2,328.00 ", $1.00 , $0.20 ," $2,328.00 ", $465.60 ," $1,862.40 ",01/09/2019,9, September ,2019
United States, Fortune Cookie ," $2,313.00 ", $1.00 , $0.20 ," $2,313.00 ", $462.60 ," $1,850.40 ",01/05/2019,5, May ,2019
United States, Fortune Cookie ," $1,804.00 ", $1.00 , $0.20 ," $1,804.00 ", $360.80 ," $1,443.20 ",01/11/2018,11, November ,2018
France, Fortune Cookie ," $2,072.00 ", $1.00 , $0.20 ," $2,072.00 ", $414.40 ," $1,657.60 ",01/12/2019,12, December ,2019
Germany, Fortune Cookie , $766.00 , $1.00 , $0.20 , $766.00 , $153.20 , $612.80 ,01/01/2019,1, January ,2019
Germany, Fortune Cookie ," $2,992.00 ", $1.00 , $0.20 ," $2,992.00 ", $598.40 ," $2,393.60 ",01/10/2018,10, October ,2018
Mexico, Fortune Cookie ," $2,157.00 ", $1.00 , $0.20 ," $2,157.00 ", $431.40 ," $1,725.60 ",01/12/2019,12, December ,2019
United States, Fortune Cookie , $677.00 , $1.00 , $0.20 , $677.00 , $135.40 , $541.60 ,01/03/2019,3, March ,2019
France, Fortune Cookie ," $1,773.00 ", $1.00 , $0.20 ," $1,773.00 ", $354.60 ," $1,418.40 ",01/04/2019,4, April ,2019
Mexico, Fortune Cookie ," $2,420.00 ", $1.00 , $0.20 ," $2,420.00 ", $484.00 ," $1,936.00 ",01/09/2019,9, September ,2019
Canada, Fortune Cookie ," $2,734.00 ", $1.00 , $0.20 ," $2,734.00 ", $546.80 ," $2,187.20 ",01/10/2019,10, October ,2019
Mexico, Fortune Cookie ," $1,715.00 ", $1.00 , $0.20 ," $1,715.00 ", $343.00 ," $1,372.00 ",01/10/2018,10, October ,2018
France, Fortune Cookie ," $1,186.00 ", $1.00 , $0.20 ," $1,186.00 ", $237.20 , $948.80 ,01/12/2018,12, December ,2018
Mexico, Fortune Cookie ," $2,661.00 ", $1.00 , $0.20 ," $2,661.00 ", $532.20 ," $2,128.80 ",01/05/2019,5, May ,2019
United States, Fortune Cookie , $982.50 , $1.00 , $0.20 , $982.50 , $196.50 , $786.00 ,01/01/2019,1, January ,2019
United States, Fortune Cookie ," $1,298.00 ", $1.00 , $0.20 ," $1,298.00 ", $259.60 ," $1,038.40 ",01/02/2019,2, February ,2019
Mexico, Fortune Cookie , $604.00 , $1.00 , $0.20 , $604.00 , $120.80 , $483.20 ,01/06/2019,6, June ,2019
Mexico, Fortune Cookie ," $2,255.00 ", $1.00 , $0.20 ," $2,255.00 ", $451.00 ," $1,804.00 ",01/07/2019,7, July ,2019
Canada, Fortune Cookie ," $1,249.00 ", $1.00 , $0.20 ," $1,249.00 ", $249.80 , $999.20 ,01/10/2019,10, October ,2019
France, Fortune Cookie , $293.00 , $1.00 , $0.20 , $293.00 , $58.60 , $234.40 ,01/02/2019,2, February ,2019
United States, Fortune Cookie ," $2,996.00 ", $1.00 , $0.20 ," $2,996.00 ", $599.20 ," $2,396.80 ",01/10/2018,10, October ,2018
Canada, Fortune Cookie ," $2,227.50 ", $1.00 , $0.20 ," $2,227.50 ", $445.50 ," $1,782.00 ",01/01/2019,1, January ,2019
Germany, Fortune Cookie ," $1,199.00 ", $1.00 , $0.20 ," $1,199.00 ", $239.80 , $959.20 ,01/04/2019,4, April ,2019
Canada, Fortune Cookie , $200.00 , $1.00 , $0.20 , $200.00 , $40.00 , $160.00 ,01/05/2019,5, May ,2019
Canada, Fortune Cookie , $388.00 , $1.00 , $0.20 , $388.00 , $77.60 , $310.40 ,01/09/2019,9, September ,2019
Mexico, Fortune Cookie ," $1,727.00 ", $1.00 , $0.20 ," $1,727.00 ", $345.40 ," $1,381.60 ",01/10/2018,10, October ,2018
Canada, Fortune Cookie ," $2,300.00 ", $1.00 , $0.20 ," $2,300.00 ", $460.00 ," $1,840.00 ",01/12/2019,12, December ,2019
Mexico, Fortune Cookie , $546.00 , $1.00 , $0.20 , $546.00 , $109.20 , $436.80 ,01/10/2019,10, October ,2019
Mexico, Fortune Cookie ," $1,368.00 ", $1.00 , $0.20 ," $1,368.00 ", $273.60 ," $1,094.40 ",01/02/2019,2, February ,2019
France, Oatmeal Raisin ," $2,750.00 ", $5.00 , $2.20 ," $13,750.00 "," $6,050.00 "," $7,700.00 ",01/02/2019,2, February ,2019
United States, Oatmeal Raisin ," $1,953.00 ", $5.00 , $2.20 ," $9,765.00 "," $4,296.60 "," $5,468.40 ",01/04/2019,4, April ,2019
Germany, Oatmeal Raisin ," $4,219.50 ", $5.00 , $2.20 ," $21,097.50 "," $9,282.90 "," $11,814.60 ",01/04/2019,4, April ,2019
France, Oatmeal Raisin ," $1,899.00 ", $5.00 , $2.20 ," $9,495.00 "," $4,177.80 "," $5,317.20 ",01/06/2019,6, June ,2019
Germany, Oatmeal Raisin ," $1,686.00 ", $5.00 , $2.20 ," $8,430.00 "," $3,709.20 "," $4,720.80 ",01/07/2019,7, July ,2019
United States, Oatmeal Raisin ," $2,141.00 ", $5.00 , $2.20 ," $10,705.00 "," $4,710.20 "," $5,994.80 ",01/08/2019,8, August ,2019
United States, Oatmeal Raisin ," $1,143.00 ", $5.00 , $2.20 ," $5,715.00 "," $2,514.60 "," $3,200.40 ",01/10/2019,10, October ,2019
United States, Oatmeal Raisin , $615.00 , $5.00 , $2.20 ," $3,075.00 "," $1,353.00 "," $1,722.00 ",01/12/2019,12, December ,2019
United States, Oatmeal Raisin ," $1,989.00 ", $5.00 , $2.20 ," $9,945.00 "," $4,375.80 "," $5,569.20 ",01/09/2018,9, September ,2018
France, Oatmeal Raisin , $321.00 , $5.00 , $2.20 ," $1,605.00 ", $706.20 , $898.80 ,01/11/2018,11, November ,2018
Germany, Oatmeal Raisin , $259.00 , $5.00 , $2.20 ," $1,295.00 ", $569.80 , $725.20 ,01/03/2019,3, March ,2019
Mexico, Oatmeal Raisin ," $1,101.00 ", $5.00 , $2.20 ," $5,505.00 "," $2,422.20 "," $3,082.80 ",01/03/2019,3, March ,2019
Germany, Oatmeal Raisin ," $2,276.00 ", $5.00 , $2.20 ," $11,380.00 "," $5,007.20 "," $6,372.80 ",01/05/2019,5, May ,2019
Germany, Oatmeal Raisin ," $2,966.00 ", $5.00 , $2.20 ," $14,830.00 "," $6,525.20 "," $8,304.80 ",01/10/2018,10, October ,2018
United States, Oatmeal Raisin ," $1,236.00 ", $5.00 , $2.20 ," $6,180.00 "," $2,719.20 "," $3,460.80 ",01/11/2019,11, November ,2019
France, Oatmeal Raisin , $941.00 , $5.00 , $2.20 ," $4,705.00 "," $2,070.20 "," $2,634.80 ",01/11/2019,11, November ,2019
Canada, Oatmeal Raisin ," $1,916.00 ", $5.00 , $2.20 ," $9,580.00 "," $4,215.20 "," $5,364.80 ",01/12/2019,12, December ,2019
Mexico, Oatmeal Raisin ," $1,865.00 ", $5.00 , $2.20 ," $9,325.00 "," $4,103.00 "," $5,222.00 ",01/02/2019,2, February ,2019
Mexico, Oatmeal Raisin ," $1,074.00 ", $5.00 , $2.20 ," $5,370.00 "," $2,362.80 "," $3,007.20 ",01/04/2019,4, April ,2019
Germany, Oatmeal Raisin ," $1,907.00 ", $5.00 , $2.20 ," $9,535.00 "," $4,195.40 "," $5,339.60 ",01/09/2019,9, September ,2019
United States, Oatmeal Raisin , $671.00 , $5.00 , $2.20 ," $3,355.00 "," $1,476.20 "," $1,878.80 ",01/10/2018,10, October ,2018
Canada, Oatmeal Raisin ," $1,778.00 ", $5.00 , $2.20 ," $8,890.00 "," $3,911.60 "," $4,978.40 ",01/12/2018,12, December ,2018
Mexico, Oatmeal Raisin ," $1,683.00 ", $5.00 , $2.20 ," $8,415.00 "," $3,702.60 "," $4,712.40 ",01/07/2019,7, July ,2019
Mexico, Oatmeal Raisin ," $1,123.00 ", $5.00 , $2.20 ," $5,615.00 "," $2,470.60 "," $3,144.40 ",01/08/2019,8, August ,2019
Germany, Oatmeal Raisin ," $1,159.00 ", $5.00 , $2.20 ," $5,795.00 "," $2,549.80 "," $3,245.20 ",01/10/2018,10, October ,2018
Germany, Oatmeal Raisin ," $1,350.00 ", $5.00 , $2.20 ," $6,750.00 "," $2,970.00 "," $3,780.00 ",01/02/2019,2, February ,2019
Canada, Oatmeal Raisin , $552.00 , $5.00 , $2.20 ," $2,760.00 "," $1,214.40 "," $1,545.60 ",01/08/2019,8, August ,2019
Canada, Oatmeal Raisin ," $1,228.00 ", $5.00 , $2.20 ," $6,140.00 "," $2,701.60 "," $3,438.40 ",01/10/2018,10, October ,2018
Germany, Oatmeal Raisin ," $1,250.00 ", $5.00 , $2.20 ," $6,250.00 "," $2,750.00 "," $3,500.00 ",01/12/2019,12, December ,2019
France, Oatmeal Raisin ," $1,987.50 ", $5.00 , $2.20 ," $9,937.50 "," $4,372.50 "," $5,565.00 ",01/01/2019,1, January ,2019
Mexico, Oatmeal Raisin ," $1,679.00 ", $5.00 , $2.20 ," $8,395.00 "," $3,693.80 "," $4,701.20 ",01/09/2019,9, September ,2019
United States, Oatmeal Raisin , $727.00 , $5.00 , $2.20 ," $3,635.00 "," $1,599.40 "," $2,035.60 ",01/10/2018,10, October ,2018
France, Oatmeal Raisin ," $1,403.00 ", $5.00 , $2.20 ," $7,015.00 "," $3,086.60 "," $3,928.40 ",01/10/2018,10, October ,2018
France, Oatmeal Raisin ," $2,076.00 ", $5.00 , $2.20 ," $10,380.00 "," $4,567.20 "," $5,812.80 ",01/10/2018,10, October ,2018
Canada, Oatmeal Raisin ," $1,135.00 ", $5.00 , $2.20 ," $5,675.00 "," $2,497.00 "," $3,178.00 ",01/06/2019,6, June ,2019
Canada, Oatmeal Raisin ," $1,645.00 ", $5.00 , $2.20 ," $8,225.00 "," $3,619.00 "," $4,606.00 ",01/05/2019,5, May ,2019
France, Oatmeal Raisin ," $2,876.00 ", $5.00 , $2.20 ," $14,380.00 "," $6,327.20 "," $8,052.80 ",01/09/2019,9, September ,2019
Germany, Oatmeal Raisin , $994.00 , $5.00 , $2.20 ," $4,970.00 "," $2,186.80 "," $2,783.20 ",01/09/2018,9, September ,2018
Canada, Oatmeal Raisin ," $1,118.00 ", $5.00 , $2.20 ," $5,590.00 "," $2,459.60 "," $3,130.40 ",01/11/2019,11, November ,2019
United States, Oatmeal Raisin ," $1,372.00 ", $5.00 , $2.20 ," $6,860.00 "," $3,018.40 "," $3,841.60 ",01/12/2019,12, December ,2019
United States, Oatmeal Raisin ," $1,282.00 ", $5.00 , $2.20 ," $6,410.00 "," $2,820.40 "," $3,589.60 ",01/06/2019,6, June ,2019
Canada, Oatmeal Raisin , $708.00 , $5.00 , $2.20 ," $3,540.00 "," $1,557.60 "," $1,982.40 ",01/06/2019,6, June ,2019
United States, Oatmeal Raisin ," $2,907.00 ", $5.00 , $2.20 ," $14,535.00 "," $6,395.40 "," $8,139.60 ",01/06/2019,6, June ,2019
Germany, Oatmeal Raisin ," $1,366.00 ", $5.00 , $2.20 ," $6,830.00 "," $3,005.20 "," $3,824.80 ",01/06/2019,6, June ,2019
Mexico, Oatmeal Raisin ," $2,460.00 ", $5.00 , $2.20 ," $12,300.00 "," $5,412.00 "," $6,888.00 ",01/06/2019,6, June ,2019
Germany, Oatmeal Raisin ," $1,520.00 ", $5.00 , $2.20 ," $7,600.00 "," $3,344.00 "," $4,256.00 ",01/11/2019,11, November ,2019
Germany, Oatmeal Raisin , $711.00 , $5.00 , $2.20 ," $3,555.00 "," $1,564.20 "," $1,990.80 ",01/12/2019,12, December ,2019
Mexico, Oatmeal Raisin ," $1,375.00 ", $5.00 , $2.20 ," $6,875.00 "," $3,025.00 "," $3,850.00 ",01/12/2018,12, December ,2018
Mexico, Oatmeal Raisin , $635.00 , $5.00 , $2.20 ," $3,175.00 "," $1,397.00 "," $1,778.00 ",01/12/2019,12, December ,2019
United States, Oatmeal Raisin ," $2,071.00 ", $5.00 , $2.20 ," $10,355.00 "," $4,556.20 "," $5,798.80 ",01/09/2019,9, September ,2019
Canada, Oatmeal Raisin ," $1,269.00 ", $5.00 , $2.20 ," $6,345.00 "," $2,791.80 "," $3,553.20 ",01/10/2019,10, October ,2019
Germany, Oatmeal Raisin , $970.00 , $5.00 , $2.20 ," $4,850.00 "," $2,134.00 "," $2,716.00 ",01/11/2018,11, November ,2018
Mexico, Oatmeal Raisin ," $1,694.00 ", $5.00 , $2.20 ," $8,470.00 "," $3,726.80 "," $4,743.20 ",01/11/2019,11, November ,2019
Mexico, Oatmeal Raisin ," $1,038.00 ", $5.00 , $2.20 ," $5,190.00 "," $2,283.60 "," $2,906.40 ",01/06/2019,6, June ,2019
Canada, Oatmeal Raisin ," $1,630.50 ", $5.00 , $2.20 ," $8,152.50 "," $3,587.10 "," $4,565.40 ",01/07/2019,7, July ,2019
France, Oatmeal Raisin , $306.00 , $5.00 , $2.20 ," $1,530.00 ", $673.20 , $856.80 ,01/12/2018,12, December ,2018
United States, Oatmeal Raisin , $579.00 , $5.00 , $2.20 ," $2,895.00 "," $1,273.80 "," $1,621.20 ",01/01/2019,1, January ,2019
Canada, Oatmeal Raisin ," $2,240.00 ", $5.00 , $2.20 ," $11,200.00 "," $4,928.00 "," $6,272.00 ",01/02/2019,2, February ,2019
United States, Oatmeal Raisin ," $2,993.00 ", $5.00 , $2.20 ," $14,965.00 "," $6,584.60 "," $8,380.40 ",01/03/2019,3, March ,2019
Canada, Oatmeal Raisin ," $3,520.50 ", $5.00 , $2.20 ," $17,602.50 "," $7,745.10 "," $9,857.40 ",01/04/2019,4, April ,2019
Mexico, Oatmeal Raisin ," $2,039.00 ", $5.00 , $2.20 ," $10,195.00 "," $4,485.80 "," $5,709.20 ",01/05/2019,5, May ,2019
Germany, Oatmeal Raisin ," $2,574.00 ", $5.00 , $2.20 ," $12,870.00 "," $5,662.80 "," $7,207.20 ",01/08/2019,8, August ,2019
Canada, Oatmeal Raisin , $707.00 , $5.00 , $2.20 ," $3,535.00 "," $1,555.40 "," $1,979.60 ",01/09/2019,9, September ,2019
France, Oatmeal Raisin ," $2,072.00 ", $5.00 , $2.20 ," $10,360.00 "," $4,558.40 "," $5,801.60 ",01/12/2019,12, December ,2019
France, Oatmeal Raisin , $853.00 , $5.00 , $2.20 ," $4,265.00 "," $1,876.60 "," $2,388.40 ",01/12/2019,12, December ,2019
United States, Oatmeal Raisin ," $3,199.50 ", $5.00 , $2.20 ," $15,997.50 "," $7,038.90 "," $8,958.60 ",01/07/2019,7, July ,2019
Germany, Oatmeal Raisin , $472.00 , $5.00 , $2.20 ," $2,360.00 "," $1,038.40 "," $1,321.60 ",01/10/2019,10, October ,2019
Germany, Oatmeal Raisin ," $3,165.00 ", $5.00 , $2.20 ," $15,825.00 "," $6,963.00 "," $8,862.00 ",01/01/2019,1, January ,2019
Mexico, Oatmeal Raisin ," $2,629.00 ", $5.00 , $2.20 ," $13,145.00 "," $5,783.80 "," $7,361.20 ",01/01/2019,1, January ,2019
France, Oatmeal Raisin ," $1,433.00 ", $5.00 , $2.20 ," $7,165.00 "," $3,152.60 "," $4,012.40 ",01/05/2019,5, May ,2019
Mexico, Oatmeal Raisin , $947.00 , $5.00 , $2.20 ," $4,735.00 "," $2,083.40 "," $2,651.60 ",01/09/2018,9, September ,2018
